method,bits_per_weight,conversion_ms,materialization_ms,total_model_bytes,incremental_plane_bytes,arc_easy_accuracy,arc_elapsed_s,cross_entropy,perplexity,next_token_agreement,evaluated_tokens,wikitext_elapsed_s,wikitext_tokens_per_s,generated_tokens,generation_elapsed_s,generation_tokens_per_s,group_size,embedding_bits,effective_bits_per_weight,weight_payload_bytes,exponent_bytes,other_model_bytes
bfloat16_source_reference,16,0.0,0.0,988065664,0,0.41,22.583470625104383,3.3172994750335736,27.585753861709552,1.0,8191,6.538093750132248,1252.8116471003982,64,3.9691182910464704,16.12448793586502,,,,,,
block_dyadic,4,63612.4800411053,3286.682332865894,254841984,61745152,0.38,23.817922290880233,3.972652911732389,53.125280739156594,0.5625686645507812,8191,6.356231000041589,1288.6567527118516,64,2.90172079205513,22.055878075944136,64.0,4.0,4.126721958653561,246980608.0,7718144.0,143232.0
block_dyadic,5,63612.4800411053,4101.348625030369,316587136,61745152,0.43,23.204418709035963,3.4657550970577464,32.000614222151384,0.7532657980918884,8191,6.640328166075051,1233.5233734150697,64,3.0639850001316518,20.887830716289432,64.0,5.0,5.126577126155325,308725760.0,7718144.0,143232.0
block_dyadic,6,63612.4800411053,3724.605791969225,378332288,61745152,0.46,22.488017917145044,3.353925039677695,28.614827847430707,0.8744964003562927,8191,5.954867833061144,1375.5133161014853,64,2.914056957932189,21.962508257015784,64.0,6.0,6.126432293657088,370470912.0,7718144.0,143232.0
block_dyadic,8,63612.4800411053,3364.932582946494,501822592,61745152,0.42,22.559111000038683,3.333414723476987,28.03390648535139,0.9437187314033508,8191,5.3949029999785125,1518.2849441468409,64,3.3993664579465985,18.827037564717124,64.0,8.0,8.126142628660615,493961216.0,7718144.0,143232.0
