shape,bits,dyop_threads,torch_threads,torch_materialized_ms,dyop_native_ms,speedup_vs_torch,max_abs_error
resnet_conv3x3,6,12,4,3.935539594385773,8.346216648351401,0.4715357580806564,0.000148773193359375
resnet_layer2_stride2_3x3,6,12,4,0.34723749849945307,0.5407354445196688,0.6421578278596135,9.918212890625e-05
resnet_layer3_stride2_3x3,6,12,4,0.26236874982714653,0.7300750003196299,0.3593723243670587,0.0002288818359375
resnet_layer4_stride2_3x3,6,12,4,0.2288645482622087,1.1936500086449087,0.19173505349530992,0.00042724609375
resnet_downsample,6,12,4,0.26560210390016437,0.9849500027485192,0.26966049358748906,2.86102294921875e-05
