shape,bits,dyop_threads,torch_threads,torch_materialized_ms,dyop_native_ms,speedup_vs_torch,max_abs_error
resnet_conv3x3,6,12,4,3.0718437512405217,6.567489600274712,0.46773484820014477,0.000148773193359375
resnet_layer2_stride2_3x3,6,12,4,0.2946437569335103,0.5009479587897658,0.5881723874977685,9.918212890625e-05
resnet_layer3_stride2_3x3,6,12,4,0.21257915068417788,0.8836187538690865,0.24057790733091747,0.0002288818359375
resnet_layer4_stride2_3x3,6,12,4,0.19974374445155263,0.9159124922007322,0.21808169028420304,0.00042724609375
resnet_downsample,6,12,4,0.20253750262781978,2.629481256008148,0.0770256498938862,1.9073486328125e-05
