op,shape,bits,torch_materialized_ms,dyop_native_ms,speedup_vs_torch,max_abs_error
linear,gemv_qwen_mlp,6,0.18438749636212984,0.14786804094910622,1.246973282249631,2.6702880859375e-05
linear,gemm_qwen_seq,6,0.19239583052694798,1.4374805303911369,0.13384239052935018,0.00014495849609375
linear,output_projection_gemv,6,6.64467359893024,2.8616430315499506,2.3219785017460013,3.814697265625e-05
linear,output_projection,6,10.843443063398203,21.028629162659247,0.5156514473446047,0.00018310546875
embedding,qwen_vocab_width,6,0.015501406354208788,0.018959733036657173,0.8175962353603831,0.0
conv2d,resnet_conv3x3,6,4.051680567984779,6.215554165343444,0.6518615171236146,0.00012969970703125
conv2d,resnet_downsample,6,0.28907637267063063,0.6680250012626251,0.4327328649739924,3.814697265625e-05
