shape,bits,dyop_threads,torch_threads,torch_materialized_ms,dyop_native_ms,speedup_vs_torch,max_abs_error
resnet_conv3x3,6,12,1,4.365962499286979,9.205045853741467,0.4743010049767865,6.4849853515625e-05
resnet_layer2_stride2_3x3,6,12,1,0.4463895922526717,0.5250666523352265,0.8501579566467615,4.57763671875e-05
resnet_layer3_stride2_3x3,6,12,1,0.28108335100114346,0.5031917011365294,0.5586009275714943,9.1552734375e-05
resnet_layer4_stride2_3x3,6,12,1,0.2452645916491747,0.5810687434859574,0.4220922126662316,9.918212890625e-05
resnet_downsample,6,12,1,0.25571665028110147,0.47775834100320935,0.535242670476754,1.9073486328125e-05
