shape,bits,dyop_threads,torch_threads,torch_materialized_ms,dyop_native_ms,speedup_vs_torch,max_abs_error
resnet_conv3x3,6,16,1,4.350304149556905,9.910177101846784,0.43897340126708895,0.000148773193359375
resnet_downsample,6,16,1,0.697858352214098,0.9450645535252988,0.7384240045941123,2.6702880859375e-05
