shape,bits,dyop_threads,torch_threads,torch_materialized_ms,dyop_native_ms,speedup_vs_torch,max_abs_error
resnet_conv3x3,6,10,1,4.055704106576741,7.7026584185659885,0.5265330339459341,6.4849853515625e-05
resnet_layer2_stride2_3x3,6,10,1,0.4673833027482033,0.4749542102217674,0.9840597107876375,4.57763671875e-05
resnet_layer3_stride2_3x3,6,10,1,0.29150000773370266,0.418983306735754,0.6957317941966289,9.1552734375e-05
resnet_layer4_stride2_3x3,6,10,1,0.24232498835772276,0.4925333196297288,0.4919971476039329,9.918212890625e-05
resnet_downsample,6,10,1,0.27521250303834677,0.3812165930867195,0.7219321195070362,1.9073486328125e-05
