shape,bits,dyop_threads,torch_threads,torch_materialized_ms,dyop_native_ms,speedup_vs_torch,max_abs_error
resnet_conv3x3,6,10,1,4.037387506105006,7.6072582975029945,0.5307283318393746,6.4849853515625e-05
resnet_layer2_stride2_3x3,6,10,1,0.501795788295567,0.4740291042253375,1.0585759056199853,4.57763671875e-05
resnet_layer3_stride2_3x3,6,10,1,0.3207416972145438,0.41457919869571924,0.7736560305572698,9.1552734375e-05
resnet_layer4_stride2_3x3,6,10,1,0.28128749690949917,0.5584041820839047,0.503734581391859,9.918212890625e-05
resnet_downsample,6,10,1,0.30763749964535236,0.4287499934434891,0.7175218760345012,1.9073486328125e-05
