shape,bits,dyop_threads,torch_threads,torch_materialized_ms,dyop_native_ms,speedup_vs_torch,max_abs_error
resnet_conv3x3,6,12,4,2.868202095851302,5.684497905895114,0.5045655998706289,0.000148773193359375
resnet_layer2_stride2_3x3,6,12,4,0.2806895994581282,0.48998959828168154,0.5728480776785133,9.918212890625e-05
resnet_layer3_stride2_3x3,6,12,4,0.20515414653345942,0.7134166546165943,0.28756568157735785,0.0002288818359375
resnet_layer4_stride2_3x3,6,12,4,0.19443335477262735,0.7614291505888104,0.2553531797702685,0.00042724609375
resnet_downsample,6,12,4,0.19595834892243147,0.595370854716748,0.3291366169001673,2.6702880859375e-05
