shape,bits,dyop_threads,torch_threads,torch_materialized_ms,dyop_native_ms,speedup_vs_torch,max_abs_error
resnet_conv3x3,6,12,4,2.843648629883925,5.909969432589908,0.4811613092620957,0.000148773193359375
resnet_layer2_stride2_3x3,6,12,4,0.2644069337596496,0.6857555670042833,0.3855702330127756,7.62939453125e-05
resnet_layer3_stride2_3x3,6,12,4,0.23233053895334402,0.7610097294673324,0.30529246862055687,0.0001678466796875
resnet_layer4_stride2_3x3,6,12,4,0.19598053768277168,0.9884527651593089,0.19827000802732897,0.0003814697265625
resnet_downsample,6,12,4,0.2123319311067462,0.6104319356381893,0.34783883134285754,2.6702880859375e-05
