op,shape,bits,torch_materialized_ms,dyop_native_ms,speedup_vs_torch,max_abs_error
linear,gemv_qwen_mlp,6,0.23396999575197697,0.1012225029990077,2.3114425035930064,1.52587890625e-05
linear,gemm_qwen_seq,6,0.09950249921530485,2.295912499539554,0.04333897708874363,5.340576171875e-05
linear,output_projection_gemv,6,6.659461660310626,2.171888342127204,3.0662081153712424,2.288818359375e-05
linear,output_projection,6,10.761772501282394,44.01530665811151,0.2445006821121198,8.7738037109375e-05
embedding,qwen_vocab_width,6,0.016469997353851795,0.019088340923190117,0.8628302176771508,0.0
conv2d,resnet_conv3x3,6,4.060835842974484,6.244464996270835,0.6503096494895232,0.00012969970703125
conv2d,resnet_downsample,6,0.2941391570493579,2.37399831879884,0.12390032238867886,1.9073486328125e-05
