subkernel,shape,source,materialized_ms,dyop_native_ms,speedup_vs_materialized,passes_speed_gate,max_abs_error
linear_gemm_qwen_seq,linear_gemm_qwen_seq,results/level2/arm64_amx_gate_results_after_fix_full_audit.csv,0.192396,0.309208,0.622221,False,
linear_output_projection,linear_output_projection,results/level2/arm64_amx_gate_results_after_fix_full_audit.csv,10.843443,39.71925,0.273002,False,
embedding_qwen_vocab_width,embedding_qwen_vocab_width,results/level2/arm64_amx_gate_results_after_fix_full_audit.csv,0.015501,0.005334,2.90621,True,
resnet_conv3x3,resnet_conv3x3,results/level2/arm64_amx_gate_results_after_fix_full_audit.csv,3.93554,8.15825,0.4824,False,
resnet_layer2_stride2_3x3,resnet_layer2_stride2_3x3,results/level2/arm64_amx_gate_results_after_fix_full_audit.csv,0.347237,0.500542,0.693722,False,
resnet_layer3_stride2_3x3,resnet_layer3_stride2_3x3,results/level2/arm64_amx_gate_results_after_fix_full_audit.csv,0.262369,0.542354,0.48376,False,
resnet_layer4_stride2_3x3,resnet_layer4_stride2_3x3,results/level2/arm64_amx_gate_results_after_fix_full_audit.csv,0.228865,0.877242,0.260892,False,
resnet_downsample,resnet_downsample,results/level2/arm64_amx_gate_results_after_fix_full_audit.csv,0.265602,0.553708,0.479679,False,
adaptive_avgpool2d_resnet_global,adaptive_avgpool2d_resnet_global,results/level2/arm64_amx_gate_results_after_fix_full_audit.csv,0.013332,0.002393,5.572088,True,
