shape,bits,dyop_threads,torch_threads,torch_materialized_ms,dyop_native_ms,speedup_vs_torch,max_abs_error
resnet_conv3x3,6,16,1,4.017883352935314,8.011234377045184,0.5015311204036008,0.000148773193359375
resnet_downsample,6,16,1,0.2604864537715912,0.6982124992646277,0.3730761824601265,2.6702880859375e-05
