shape,bits,dyop_threads,torch_threads,torch_materialized_ms,dyop_native_ms,speedup_vs_torch,max_abs_error
resnet_conv3x3,6,10,1,3.9577180364479623,7.612494472414255,0.5198976565158406,6.4849853515625e-05
resnet_layer2_stride2_3x3,6,10,1,0.42390973151971895,0.4274486020828287,0.9917209448203459,4.57763671875e-05
resnet_layer3_stride2_3x3,6,10,1,0.269776404214402,0.38993610069155693,0.6918477251425296,9.1552734375e-05
resnet_layer4_stride2_3x3,6,10,1,0.22201389850427708,0.4728472015510003,0.4695256687065983,9.918212890625e-05
resnet_downsample,6,10,1,0.25366666571547586,0.37523750215768814,0.6760162943651514,1.9073486328125e-05
