op,shape,dyop_threads,torch_threads,torch_ms,native_ms,speedup_vs_torch,max_abs_error
relu,resnet_relu,16,1,0.10501000098884106,0.08864833973348141,1.184568163425852,0.0
add,resnet_add,16,1,0.15762418042868376,0.10275666136294603,1.5339558364196026,0.0
add_relu,resnet_add_relu,16,1,0.28379665687680244,0.09991668164730072,2.8403330875077084,0.0
maxpool2d,resnet_maxpool,16,1,14.616285837255418,8.79926084075123,1.661081095535243,0.0
adaptive_avgpool2d,resnet_global_avgpool,16,1,0.01333167776465416,0.0620125001296401,0.21498371677941783,1.1920928955078125e-07
