shape,bits,dyop_threads,torch_threads,torch_materialized_ms,dyop_native_ms,speedup_vs_torch,max_abs_error
resnet_conv3x3,6,16,1,3.999677102547139,5.575908324681222,0.7173139997375768,0.000148773193359375
resnet_layer2_stride2_3x3,6,16,1,0.45618852018378675,0.6633364770095795,0.6877181279708198,9.918212890625e-05
resnet_layer3_stride2_3x3,6,16,1,0.2925635257270187,0.6960489496123046,0.4203203321978648,0.0002288818359375
resnet_layer4_stride2_3x3,6,16,1,0.23798644542694092,0.888345850398764,0.2678984151500372,0.0003814697265625
resnet_downsample,6,16,1,0.2745854260865599,0.5968510231468827,0.4600568909789496,2.6702880859375e-05
