shape,bits,dyop_threads,torch_threads,torch_materialized_ms,dyop_native_ms,speedup_vs_torch,max_abs_error
resnet_conv3x3,6,16,1,4.712358303368092,7.37544164294377,0.6389255764604277,6.4849853515625e-05
resnet_layer2_stride2_3x3,6,16,1,0.45350000727921724,0.44671460054814816,1.0151895790348981,4.57763671875e-05
resnet_layer3_stride2_3x3,6,16,1,0.2860999898985028,0.407845841255039,0.7014905166572372,9.1552734375e-05
resnet_layer4_stride2_3x3,6,16,1,0.2491145976819098,0.4589333548210561,0.5428121426890898,9.918212890625e-05
resnet_downsample,6,16,1,0.2509666490368545,0.4186979029327631,0.599397912621397,1.9073486328125e-05
