backend,available,bits,device,dtype,torch_threads,dyop_threads,batch_size,latency_ms,images_per_s,speedup_vs_materialized_cpu,speedup_vs_materialized_mps,passes_cpu_speed_gate,passes_mps_speed_gate,conversion_ms,materialization_ms,level2_build_ms,total_model_bytes,incremental_plane_bytes,tensor_bytes,replaced_modules,native_residual_blocks,note
materialized_dyadic_cpu,True,6,cpu,float32,4,,1,7.489604118745774,133.51840553188842,1.0,,True,,120.83904212340713,31.12120903097093,0.0,9427280,1394688,46738848,,,
materialized_dyadic_mps,False,6,mps,float16,4,,1,,,,,,,,,,,,,,,MPS is not available in this PyTorch runtime
level2_native_dyop_cpu,True,6,cpu,float32,4,1,1,73.39294787379913,13.625287292173127,0.1020480078225543,,False,,127.9882499948144,0.0,8.894291007891297,9427280,1394688,,"layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer4.0.conv1,layer4.0.conv2,layer4.0.downsample.0,layer4.1.conv1,layer4.1.conv2,relu,maxpool,layer1.0.relu,layer1.1.relu,layer2.0.relu,layer2.1.relu,layer3.0.relu,layer3.1.relu,layer4.0.relu,layer4.1.relu,avgpool","layer1.0,layer1.1,layer2.0,layer2.1,layer3.0,layer3.1,layer4.0,layer4.1",
level2_native_dyop_cpu,True,6,cpu,float32,4,2,1,40.622874977998435,24.616672270035178,0.18436913002347036,,False,,124.58437494933605,0.0,8.570959093049169,9427280,1394688,,"layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer4.0.conv1,layer4.0.conv2,layer4.0.downsample.0,layer4.1.conv1,layer4.1.conv2,relu,maxpool,layer1.0.relu,layer1.1.relu,layer2.0.relu,layer2.1.relu,layer3.0.relu,layer3.1.relu,layer4.0.relu,layer4.1.relu,avgpool","layer1.0,layer1.1,layer2.0,layer2.1,layer3.0,layer3.1,layer4.0,layer4.1",
level2_native_dyop_cpu,True,6,cpu,float32,4,4,1,31.39130212366581,31.855957935752624,0.23858851376220497,,False,,122.86191713064909,0.0,8.598624961450696,9427280,1394688,,"layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer4.0.conv1,layer4.0.conv2,layer4.0.downsample.0,layer4.1.conv1,layer4.1.conv2,relu,maxpool,layer1.0.relu,layer1.1.relu,layer2.0.relu,layer2.1.relu,layer3.0.relu,layer3.1.relu,layer4.0.relu,layer4.1.relu,avgpool","layer1.0,layer1.1,layer2.0,layer2.1,layer3.0,layer3.1,layer4.0,layer4.1",
level2_native_dyop_cpu,True,6,cpu,float32,4,8,1,19.945411360822618,50.136845107352876,0.37550512161694904,,False,,125.79233292490244,0.0,8.702707942575216,9427280,1394688,,"layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer4.0.conv1,layer4.0.conv2,layer4.0.downsample.0,layer4.1.conv1,layer4.1.conv2,relu,maxpool,layer1.0.relu,layer1.1.relu,layer2.0.relu,layer2.1.relu,layer3.0.relu,layer3.1.relu,layer4.0.relu,layer4.1.relu,avgpool","layer1.0,layer1.1,layer2.0,layer2.1,layer3.0,layer3.1,layer4.0,layer4.1",
level2_native_dyop_cpu,True,6,cpu,float32,4,12,1,19.34184375568293,51.70137928066887,0.387222863205335,,False,,123.31137480214238,0.0,8.620374836027622,9427280,1394688,,"layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer4.0.conv1,layer4.0.conv2,layer4.0.downsample.0,layer4.1.conv1,layer4.1.conv2,relu,maxpool,layer1.0.relu,layer1.1.relu,layer2.0.relu,layer2.1.relu,layer3.0.relu,layer3.1.relu,layer4.0.relu,layer4.1.relu,avgpool","layer1.0,layer1.1,layer2.0,layer2.1,layer3.0,layer3.1,layer4.0,layer4.1",
level2_native_dyop_cpu,True,6,cpu,float32,4,16,1,19.02028123731725,52.575458139810706,0.3937693678288723,,False,,124.08787501044571,0.0,8.57387506403029,9427280,1394688,,"layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer4.0.conv1,layer4.0.conv2,layer4.0.downsample.0,layer4.1.conv1,layer4.1.conv2,relu,maxpool,layer1.0.relu,layer1.1.relu,layer2.0.relu,layer2.1.relu,layer3.0.relu,layer3.1.relu,layer4.0.relu,layer4.1.relu,avgpool","layer1.0,layer1.1,layer2.0,layer2.1,layer3.0,layer3.1,layer4.0,layer4.1",
