subkernel,materialized_gate_ms,arm64_neon_ms,speedup_vs_arm64_gate,best_threads,passes_fixed_gate,correct,op_tree
linear_gemm_qwen_seq,0.192396,0.309208,0.622221,2,false,true,"pack_weight_k_nr -> microkernel_16x16_amx -> apply_scale_bias -> contiguous_writeback"
linear_output_projection,10.843443,39.719250,0.273002,10,false,true,"pack_weight_k_nr -> microkernel_16x16_amx -> apply_scale_bias -> contiguous_writeback"
embedding_qwen_vocab_width,0.015501,0.005334,2.906210,8,true,true,"persistent_spin_workers -> gather_row -> neon_i16_to_f32 -> apply_row_scale -> streaming_writeback"
resnet_conv3x3,3.935540,8.158250,0.482400,8,false,true,"make_indirect_window_tile_16xK -> microkernel_16x16_amx -> scale_bias -> nchw_strided_writeback"
resnet_layer2_stride2_3x3,0.347237,0.500542,0.693722,8,false,true,"make_indirect_window_tile_16xK -> microkernel_16x16_amx -> scale_bias -> nchw_strided_writeback"
resnet_layer3_stride2_3x3,0.262369,0.542354,0.483760,8,false,true,"make_indirect_window_tile_16xK -> microkernel_16x16_amx -> scale_bias -> nchw_strided_writeback"
resnet_layer4_stride2_3x3,0.228865,0.877242,0.260892,4,false,true,"make_indirect_window_tile_16xK -> microkernel_16x16_amx -> scale_bias -> nchw_strided_writeback"
resnet_downsample,0.265602,0.553708,0.479679,8,false,true,"gather_stride1x1_activation_tile -> microkernel_16x16_amx -> scale_bias -> nchw_strided_writeback"
adaptive_avgpool2d_resnet_global,0.013332,0.002393,5.572088,4,true,true,"persistent_spin_workers -> shape_specialized_reduction_49 -> contiguous_writeback"
