op,shape,bits,torch_materialized_ms,dyop_native_ms,speedup_vs_torch,max_abs_error
linear,gemv_qwen_mlp,6,0.20329917781054974,0.08772082161158323,2.3175703792508116,1.52587890625e-05
linear,gemm_qwen_seq,6,0.0942408200353384,2.526105842553079,0.03730675827109892,5.340576171875e-05
linear,output_projection_gemv,6,6.725259157828987,2.5571608217433095,2.629971138555194,2.288818359375e-05
linear,output_projection,6,10.598528338596225,53.65427250042558,0.19753372554836446,8.7738037109375e-05
embedding,qwen_vocab_width,6,0.01631000079214573,0.019421661272644997,0.8397840206964182,0.0
conv2d,resnet_conv3x3,6,4.0947475004941225,5.94395583961159,0.6888926517936067,0.00012969970703125
conv2d,resnet_downsample,6,0.27410916052758694,2.182965842075646,0.1255673154587493,1.9073486328125e-05
