method,execution_backend,level2_linear_backend,level2_conv_backend,level2_spatial_backend,bits_per_weight,conversion_ms,materialization_ms,level2_build_ms,level2_native_residual_blocks,total_model_bytes,incremental_plane_bytes,latency_batch1_ms,latency_batch_ms,top1_accuracy,reference_agreement,logit_mae,logit_cosine,images,elapsed_s,images_per_s,level2_replaced_modules,level2_shared_weight_modules,weight_payload_bytes,exponent_bytes,other_model_bytes
fp32_reference,torch_fp32,,,,16,0.0,0.0,0.0,,46738848,0,7.4310553415368,7.4132750276476145,0.65,1.0,0.0,1.0,200,1.7289001671597362,115.68047930064296,,,,,
per_channel_dyadic_level2_native,level2-native,native-cpu,native-cpu,native-cpu,4,254.3748749885708,0.0,8.796874899417162,"layer1.0,layer1.1,layer2.0,layer2.1,layer3.0,layer3.1,layer4.0,layer4.1",6637904,1394688,37.88198600523174,37.24809158593416,0.36,0.45,1.5195727514648438,0.7367193919420242,200,7.584102040855214,26.370953202186502,"layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer4.0.conv1,layer4.0.conv2,layer4.0.downsample.0,layer4.1.conv1,layer4.1.conv2,relu,maxpool,layer1.0.relu,layer1.1.relu,layer2.0.relu,layer2.1.relu,layer3.0.relu,layer3.1.relu,layer4.0.relu,layer4.1.relu,avgpool",,5578752.0,4736.0,1054416.0
per_channel_dyadic_level2_native,level2-native,native-cpu,native-cpu,native-cpu,6,254.3748749885708,0.0,8.460333105176687,"layer1.0,layer1.1,layer2.0,layer2.1,layer3.0,layer3.1,layer4.0,layer4.1",9427280,1394688,39.77347235195339,38.239699974656105,0.66,0.945,0.2599760292816162,0.9922807183861733,200,7.858454625122249,25.450296469312338,"layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer4.0.conv1,layer4.0.conv2,layer4.0.downsample.0,layer4.1.conv1,layer4.1.conv2,relu,maxpool,layer1.0.relu,layer1.1.relu,layer2.0.relu,layer2.1.relu,layer3.0.relu,layer3.1.relu,layer4.0.relu,layer4.1.relu,avgpool",,8368128.0,4736.0,1054416.0
per_channel_dyadic_level2_native,level2-native,native-cpu,native-cpu,native-cpu,8,254.3748749885708,0.0,8.093874901533127,"layer1.0,layer1.1,layer2.0,layer2.1,layer3.0,layer3.1,layer4.0,layer4.1",12216656,1394688,39.00972233774761,39.389399997889996,0.66,0.975,0.12094596836090088,0.9983199635148048,200,8.004504250129685,24.985932138990332,"layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer4.0.conv1,layer4.0.conv2,layer4.0.downsample.0,layer4.1.conv1,layer4.1.conv2,relu,maxpool,layer1.0.relu,layer1.1.relu,layer2.0.relu,layer2.1.relu,layer3.0.relu,layer3.1.relu,layer4.0.relu,layer4.1.relu,avgpool",,11157504.0,4736.0,1054416.0
