method,execution_backend,level2_linear_backend,level2_conv_backend,bits_per_weight,conversion_ms,materialization_ms,level2_build_ms,total_model_bytes,incremental_plane_bytes,latency_batch1_ms,latency_batch_ms,top1_accuracy,reference_agreement,logit_mae,logit_cosine,images,elapsed_s,images_per_s,level2_replaced_modules,level2_shared_weight_modules,weight_payload_bytes,exponent_bytes,other_model_bytes
fp32_reference,torch_fp32,,,16,0.0,0.0,0.0,46738848,0,0.0,0.0,0.4,1.0,0.0,1.0,10,0.11441400018520653,87.40189123544845,,,,,
per_channel_dyadic_level2_native,level2-native,native-cpu,native-cpu,4,236.55004217289388,0.0,10.144750121980906,6637904,1394688,0.0,0.0,0.1,0.2,1.6797986694335938,0.6360264271497726,10,4.3319083750247955,2.308451410850249,"layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer4.0.conv1,layer4.0.conv2,layer4.0.downsample.0,layer4.1.conv1,layer4.1.conv2",,5578752.0,4736.0,1054416.0
per_channel_dyadic_level2_native,level2-native,native-cpu,native-cpu,8,236.55004217289388,0.0,9.222916094586253,12216656,1394688,0.0,0.0,0.4,1.0,0.11691525497436524,0.9980579018592834,10,4.413470833096653,2.265790435276001,"layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer4.0.conv1,layer4.0.conv2,layer4.0.downsample.0,layer4.1.conv1,layer4.1.conv2",,11157504.0,4736.0,1054416.0
