method,bits_per_weight,conversion_ms,materialization_ms,total_model_bytes,incremental_plane_bytes,arc_easy_accuracy,arc_elapsed_s,cross_entropy,perplexity,next_token_agreement,evaluated_tokens,wikitext_elapsed_s,wikitext_tokens_per_s,generated_tokens,generation_elapsed_s,generation_tokens_per_s,weight_payload_bytes,exponent_bytes,other_model_bytes
bfloat16_source_reference,16,0.0,0.0,988065664,0,0.4,17.402660332852975,3.3172994750335736,27.585753861709552,1.0,8191,4.727635500021279,1732.5785797071565,64,2.825528583023697,22.65062911928194,,,
per_channel_dyadic,4,38675.48291711137,673.2262091245502,247579904,61745152,0.3,10.268374708015472,4.632401416188499,102.76053886938777,0.4440239369869232,8191,2.52602225006558,3242.6476052565836,64,2.0898584169335663,30.62408413958814,246980608.0,456064.0,143232.0
per_channel_dyadic,5,38675.48291711137,615.8214579336345,309325056,61745152,0.36,10.949359541991726,3.5517030887559518,34.87265817405728,0.7127335071563721,8191,2.51514200004749,3256.674970973941,64,1.988218082813546,32.189627764290826,308725760.0,456064.0,143232.0
per_channel_dyadic,6,38675.48291711137,627.3227499332279,371070208,61745152,0.43,9.718951624818146,3.3895739225979735,29.653314970921894,0.8373824954032898,8191,2.510782541008666,3262.329519269876,64,1.9645406671334058,32.57758980036119,370470912.0,456064.0,143232.0
per_channel_dyadic,8,38675.48291711137,602.0227081608027,494560512,61745152,0.43,9.553921291138977,3.3378097912342817,28.157388561129796,0.9153949618339539,8191,2.329888916807249,3515.6182515450105,64,1.921567500103265,33.306141989058744,493961216.0,456064.0,143232.0
