dataset,operand_bits,family,modulus_entropy_bits,accuracy_mean,accuracy_std,accuracy_delta_mean,wrap_rate_mean,runtime_ms_mean
digits,4,RNS,7.98299357469431,0.8481481481481481,0.06050541587159152,-0.12666666666666668,0.006578483245149911,3.6079333474238715
digits,4,RNS,11.996826528020659,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,2.985924994572997
digits,4,RNS,15.97716810314465,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,3.4117305340866246
digits,4,RNS,17.965936435881222,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,3.247941673422853
digits,4,RNS,23.999999226077865,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,3.3161555882543325
digits,4,Z/2^12Z,12.0,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,1.50755833213528
digits,4,Z/2^16Z,16.0,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,1.3635277437667053
digits,4,Z/2^18Z,18.0,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,1.165797250966231
digits,4,Z/2^24Z,24.0,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,1.2977528075377147
digits,4,Z/2^8Z,8.0,0.862962962962963,0.05889238284533621,-0.11185185185185187,0.0056613756613756614,1.1802000148842733
digits,4,Z/3^10Z,15.849625007211563,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,1.1643388774245977
digits,4,Z/3^11Z,17.43458750793272,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,1.5202693951626618
digits,4,Z/3^15Z,23.774437510817343,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,1.1587388813495636
digits,4,Z/3^5Z,7.924812503605781,0.825925925925926,0.07731076724823194,-0.14888888888888893,0.008624338624338625,1.1344722006469965
digits,4,Z/3^7Z,11.094737505048093,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,1.5155971981585026
digits,4,Z/5^10Z,23.219280948873624,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,1.1987111841638882
digits,4,Z/5^3Z,6.965784284662087,0.34296296296296297,0.0456683337534766,-0.6318518518518519,0.1371252204585538,1.160366740077734
digits,4,Z/5^5Z,11.609640474436812,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,1.3057166710495949
digits,4,Z/5^6Z,13.931568569324174,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,1.184469445918997
digits,4,Z/5^7Z,16.253496664211536,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,1.2830888542036216
digits,4,integer-wide-accumulator,,0.9681481481481482,0.0071434450081430114,-0.006666666666666672,0.0,1.4422806135068338
digits,8,RNS,7.98299357469431,0.10592592592592592,0.019159284676114913,-0.8688888888888888,0.9089417989417989,3.05879726074636
digits,8,RNS,11.996826528020659,0.09185185185185185,0.02225922844639514,-0.8829629629629631,0.42811287477954146,3.132744412869215
digits,8,RNS,15.97716810314465,0.9629629629629629,0.027156004118256857,-0.011851851851851855,0.0003350970017636684,3.6631415908535323
digits,8,RNS,17.965936435881222,0.9748148148148147,0.013578002059128442,-3.700743415417188e-17,0.0,3.6296805987755456
digits,8,RNS,23.999999226077865,0.9748148148148147,0.013578002059128442,-3.700743415417188e-17,0.0,3.236141661182046
digits,8,Z/2^12Z,12.0,0.09333333333333334,0.018189672826383216,-0.8814814814814814,0.42710758377425045,1.3641999879231055
digits,8,Z/2^16Z,16.0,0.9644444444444445,0.026199613605670198,-0.010370370370370363,0.0002998236331569665,1.1298750527203083
digits,8,Z/2^18Z,18.0,0.9748148148148147,0.013578002059128442,-3.700743415417188e-17,0.0,1.4565166706840198
digits,8,Z/2^24Z,24.0,0.9748148148148147,0.013578002059128442,-3.700743415417188e-17,0.0,1.1998667381703854
digits,8,Z/2^8Z,8.0,0.08740740740740742,0.012636090451282953,-0.8874074074074074,0.9072310405643739,1.2345805143316586
digits,8,Z/3^10Z,15.849625007211563,0.9296296296296296,0.07028454805626377,-0.04518518518518518,0.0014462081128747797,1.1977083049714565
digits,8,Z/3^11Z,17.43458750793272,0.9748148148148147,0.013578002059128442,-3.700743415417188e-17,0.0,1.476694472754995
digits,8,Z/3^15Z,23.774437510817343,0.9748148148148147,0.013578002059128442,-3.700743415417188e-17,0.0,1.2579500675201416
digits,8,Z/3^5Z,7.924812503605781,0.10444444444444445,0.015555555555555552,-0.8703703703703703,0.9121340388007054,1.1854416069885094
digits,8,Z/3^7Z,11.094737505048093,0.09629629629629631,0.010020555006273104,-0.8785185185185185,0.628641975308642,1.3717389355103176
digits,8,Z/5^10Z,23.219280948873624,0.9748148148148147,0.013578002059128442,-3.700743415417188e-17,0.0,1.1685250016550224
digits,8,Z/5^3Z,6.965784284662087,0.11481481481481481,0.0012830005981991747,-0.86,0.9450970017636684,0.9951916678498188
digits,8,Z/5^5Z,11.609640474436812,0.10222222222222221,0.012372809695177829,-0.8725925925925927,0.5221340388007055,1.1540528076390426
digits,8,Z/5^6Z,13.931568569324174,0.08666666666666667,0.04337604732431809,-0.8881481481481481,0.14278659611992944,1.1635777230064075
digits,8,Z/5^7Z,16.253496664211536,0.9748148148148147,0.013578002059128442,-3.700743415417188e-17,0.0,1.5767999459058046
digits,8,integer-wide-accumulator,,0.9748148148148147,0.013578002059128442,-3.700743415417188e-17,0.0,1.0408443864434958
moons,4,RNS,7.98299357469431,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,1.1053416567544143
moons,4,RNS,11.996826528020659,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,1.355233322829008
moons,4,RNS,15.97716810314465,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,1.2412722222507
moons,4,RNS,17.965936435881222,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,1.0632556087026994
moons,4,RNS,23.999999226077865,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,1.2864444094399612
moons,4,Z/2^12Z,12.0,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,0.51969721292456
moons,4,Z/2^16Z,16.0,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,0.5211832777907451
moons,4,Z/2^18Z,18.0,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,0.43828880103925866
moons,4,Z/2^24Z,24.0,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,0.4648556001484394
moons,4,Z/2^8Z,8.0,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,0.42779728149374324
moons,4,Z/3^10Z,15.849625007211563,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,0.49392500271399814
moons,4,Z/3^11Z,17.43458750793272,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,0.5175026909758648
moons,4,Z/3^15Z,23.774437510817343,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,0.47251667516926926
moons,4,Z/3^5Z,7.924812503605781,0.948,0.005291502622129186,-0.01933333333333335,1.9607843137254903e-05,0.4824694711714983
moons,4,Z/3^7Z,11.094737505048093,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,0.5069305965056022
moons,4,Z/5^10Z,23.219280948873624,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,0.5581304586182038
moons,4,Z/5^3Z,6.965784284662087,0.7906666666666666,0.05254839039716948,-0.17666666666666667,0.011941176470588235,0.4584749850134055
moons,4,Z/5^5Z,11.609640474436812,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,0.6479639249543349
moons,4,Z/5^6Z,13.931568569324174,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,0.451200067376097
moons,4,Z/5^7Z,16.253496664211536,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,0.5991500647117695
moons,4,integer-wide-accumulator,,0.9486666666666667,0.006429100507328652,-0.018666666666666682,0.0,0.49345833249390125
