method,bits_per_weight,conversion_ms,materialization_ms,total_model_bytes,incremental_plane_bytes,arc_easy_accuracy,arc_elapsed_s,cross_entropy,perplexity,next_token_agreement,evaluated_tokens,wikitext_elapsed_s,wikitext_tokens_per_s,generated_tokens,generation_elapsed_s,generation_tokens_per_s,group_size,embedding_bits,effective_bits_per_weight,weight_payload_bytes,exponent_bytes,other_model_bytes
bfloat16_source_reference,16,0.0,0.0,988065664,0,0.41,21.959941792069003,3.3172994750335736,27.585753861709552,1.0,8191,5.5997060420922935,1462.7553550899408,64,3.752318625105545,17.056120866654766,,,,,,
block_dyadic,4,101777.87250000983,3219.09875003621,277996416,61745152,0.39,19.020759499864653,3.684043462336711,39.80702731216139,0.649859607219696,8191,5.2843006670009345,1550.0631996870725,64,4.576322790933773,13.98502748250002,16.0,4.0,4.501667646466722,246980608.0,30872576.0,143232.0
block_dyadic,5,101777.87250000983,3161.4780828822404,339741568,61745152,0.46,14.152562375180423,3.4848003906726897,32.61591601898765,0.7712122797966003,8191,3.7642381249461323,2176.004739369993,64,3.2403473330195993,19.750969085267776,16.0,5.0,5.501522813968486,308725760.0,30872576.0,143232.0
block_dyadic,6,101777.87250000983,3040.7321250531822,401486720,61745152,0.45,14.155351542169228,3.3583201074349898,28.74086873090475,0.8814552426338196,8191,3.7457957910373807,2186.7182454523345,64,2.3585592079907656,27.135210251737117,16.0,6.0,6.50137798147025,370470912.0,30872576.0,143232.0
block_dyadic,8,101777.87250000983,2257.9712921287864,524977024,61745152,0.42,14.835562249878421,3.3290196557196925,27.91096593077995,0.9444512128829956,8191,3.706544707994908,2209.8748687240313,64,2.029336417093873,31.53740279871964,16.0,8.0,8.501088316473776,493961216.0,30872576.0,143232.0
