method,bits_per_weight,conversion_ms,materialization_ms,total_model_bytes,incremental_plane_bytes,arc_easy_accuracy,arc_elapsed_s,cross_entropy,perplexity,next_token_agreement,evaluated_tokens,wikitext_elapsed_s,wikitext_tokens_per_s,generated_tokens,generation_elapsed_s,generation_tokens_per_s,weight_payload_bytes,exponent_bytes,other_model_bytes
dequantized_gguf_reference,16,0.0,0.0,988065664,0,0.36,6.550106375012547,3.367232328165059,28.99815850564871,1.0,8191,1.4243017497938126,5750.888111445317,64,1.3495814581401646,47.42210973185518,,,
per_channel_dyadic,4,13394.877375103533,195.24595909751952,451629952,44728320,0.31,6.08734366716817,4.9705774630692225,144.1100815978363,0.38810890913009644,8191,1.3727375001180917,5966.909186421553,64,1.1174932499416173,57.27103944774936,178913280.0,304128.0,272412544.0
per_channel_dyadic,5,13394.877375103533,271.3014578912407,496358272,44728320,0.34,6.350083250086755,3.707483823708949,40.751140364855566,0.697594940662384,8191,1.4482987090013921,5655.601257593972,64,1.2519375830888748,51.1207594248384,223641600.0,304128.0,272412544.0
per_channel_dyadic,6,13394.877375103533,298.85454196482897,541086592,44728320,0.36,6.359122999943793,3.487669393236479,32.70962552779869,0.8157734274864197,8191,1.39706554193981,5863.003383954978,64,1.2838132919277996,49.85148572803474,268369920.0,304128.0,272412544.0
per_channel_dyadic,8,13394.877375103533,325.0778329093009,630543232,44728320,0.36,6.301306958077475,3.4277255524356,30.806495248424948,0.8755951523780823,8191,1.401961375027895,5842.529006790235,64,1.214651291957125,52.690019286835025,357826560.0,304128.0,272412544.0
