family,variant,prompts,exact_match_rate,mean_edit_ratio,mean_token_jaccard,mean_cosine,judge_equivalent_rate,judged_prompts
arc,dyop_native_6,20,0.0,0.39133730116758947,0.3169656395745874,0.9310173834595915,0.75,20
arc,dyop_native_8,20,0.0,0.42666336888297945,0.3559253645140702,0.9458504127059181,0.8,20
wikitext,dyop_native_6,10,0.0,0.33765461306980926,0.21541638328967974,0.7619294303685404,0.0,10
wikitext,dyop_native_8,10,0.0,0.3697045647397167,0.2671270929396011,0.7944764539595133,0.1,10
