method,execution_backend,level2_linear_backend,level2_conv_backend,level2_spatial_backend,bits_per_weight,conversion_ms,materialization_ms,level2_build_ms,level2_native_residual_blocks,total_model_bytes,incremental_plane_bytes,latency_batch1_ms,latency_batch_ms,top1_accuracy,reference_agreement,logit_mae,logit_cosine,images,elapsed_s,images_per_s,level2_replaced_modules,level2_shared_weight_modules,weight_payload_bytes,exponent_bytes,other_model_bytes
fp32_reference,torch_fp32,,,,16,0.0,0.0,0.0,,46738848,0,7.291513650367658,7.293475000187755,0.65,1.0,0.0,1.0,200,1.664284999947995,120.17172539934539,,,,,
per_channel_dyadic_level2_native,level2-native,native-cpu,native-cpu,native-cpu,6,188.80504206754267,0.0,7.991415914148092,"layer1.0,layer1.1,layer2.0,layer2.1,layer3.0,layer3.1,layer4.0,layer4.1",9427280,1394688,23.185555667926867,21.205191779881716,0.65,0.93,0.2693748394012451,0.9918757939338684,200,4.52227395796217,44.225538271043646,"layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer4.0.conv1,layer4.0.conv2,layer4.0.downsample.0,layer4.1.conv1,layer4.1.conv2,relu,maxpool,layer1.0.relu,layer1.1.relu,layer2.0.relu,layer2.1.relu,layer3.0.relu,layer3.1.relu,layer4.0.relu,layer4.1.relu,avgpool",,8368128.0,4736.0,1054416.0
per_channel_dyadic_level2_native,level2-native,native-cpu,native-cpu,native-cpu,8,188.80504206754267,0.0,7.70908291451633,"layer1.0,layer1.1,layer2.0,layer2.1,layer3.0,layer3.1,layer4.0,layer4.1",12216656,1394688,21.675471992542345,21.99919163249433,0.655,0.99,0.09446998960494996,0.9989854454994201,200,4.60677329194732,43.41433522452727,"layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer4.0.conv1,layer4.0.conv2,layer4.0.downsample.0,layer4.1.conv1,layer4.1.conv2,relu,maxpool,layer1.0.relu,layer1.1.relu,layer2.0.relu,layer2.1.relu,layer3.0.relu,layer3.1.relu,layer4.0.relu,layer4.1.relu,avgpool",,11157504.0,4736.0,1054416.0
