family,variant,prompts,exact_match_rate,mean_edit_ratio,mean_token_jaccard,mean_cosine,judge_equivalent_rate,judged_prompts
arc,dyop_native_4,20,0.0,0.24101831115706845,0.09476142544207464,0.6638146078613155,,0
arc,dyop_native_5,20,0.0,0.353424830480487,0.27290019780233254,0.9114821880179077,,0
arc,dyop_native_6,20,0.0,0.39133730116758947,0.3169656395745874,0.9310173834595915,,0
arc,dyop_native_8,20,0.0,0.42666336888297945,0.3559253645140702,0.9458504127059181,,0
wikitext,dyop_native_4,10,0.0,0.25525793575575617,0.118246863161325,0.6687156281944063,,0
wikitext,dyop_native_5,10,0.0,0.26829810486065525,0.14265497430870094,0.6948260539126491,,0
wikitext,dyop_native_6,10,0.0,0.3376546130698094,0.21541638328967977,0.7619294303685404,,0
wikitext,dyop_native_8,10,0.0,0.36970456473971675,0.2671270929396011,0.7944764539595133,,0
