model,bits,native_backend,linear_backend,embedding_backend,total_model_bytes,compression_vs_source,effective_bits_per_weight,perplexity,perplexity_ratio_vs_reference,next_token_agreement,arc_easy_accuracy,arc_easy_delta_vs_reference,evaluated_tokens,wikitext_tokens_per_s
qwen,4,level2-native,native-cpu,native-cpu,247579904.0,7.981792124776008,4.00912522466526,114.82426892105494,3.6979079459148294,0.4408602118492126,0.45,0.04999999999999999,1023,115.37822154941024
qwen,5,level2-native,native-cpu,native-cpu,309325056.0,6.388526534365195,5.0089803921670235,41.22324082959232,1.3275917299758022,0.7321603298187256,0.5,0.09999999999999998,1023,129.14401433368698
qwen,6,level2-native,native-cpu,native-cpu,371070208.0,5.325491740905268,6.008835559668787,34.31564986128223,1.105133222128429,0.8406646847724915,0.5,0.09999999999999998,1023,138.38315703016082
qwen,8,level2-native,native-cpu,native-cpu,494560512.0,3.9957321299440904,8.008545894672315,31.922321257591996,1.0280562335794645,0.9159335494041444,0.45,0.04999999999999999,1023,148.60182061330818
