method,execution_backend,level2_linear_backend,level2_conv_backend,bits_per_weight,conversion_ms,materialization_ms,level2_build_ms,total_model_bytes,incremental_plane_bytes,latency_batch1_ms,latency_batch_ms,top1_accuracy,reference_agreement,logit_mae,images,elapsed_s,images_per_s,level2_replaced_modules,level2_shared_weight_modules,weight_payload_bytes,exponent_bytes,other_model_bytes
fp32_reference,torch_fp32,,,16,0.0,0.0,0.0,46738848,0,0.0,0.0,1.0,1.0,0.0,1,0.026754584163427353,37.37677229037136,,,,,
per_channel_dyadic_level2_native,level2-native,native-cpu,native-cpu,4,131.70525012537837,0.0,3.2445420511066914,6637904,1394688,0.0,0.0,0.0,0.0,1.47862744140625,1,3.9294590828940272,0.2544879534064279,"layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer4.0.conv1,layer4.0.conv2,layer4.0.downsample.0,layer4.1.conv1,layer4.1.conv2",,5578752.0,4736.0,1054416.0
