family,bits,level1_baseline,level1_variant,level2_variant,level1_prompts,level2_prompts,level1_judged_prompts,level2_judged_prompts,level1_mean_cosine,level2_mean_cosine,delta_mean_cosine_l2_minus_l1,level1_judge_equivalent_rate,level2_judge_equivalent_rate,delta_judge_rate_l2_minus_l1
arc,6,per_channel,dyadic_6,dyop_native_6,20,20,20,20,0.9359375420303016,0.9310173834595916,-0.004920158570709932,0.8,0.75,-0.050000000000000044
arc,6,group32,dyadic_g32_6,dyop_native_6,20,20,20,20,0.9588734678905096,0.9310173834595916,-0.027856084430918027,1.0,0.75,-0.25
arc,8,per_channel,dyadic_8,dyop_native_8,20,20,20,20,0.9433014570242656,0.945850412705918,0.002548955681652365,0.85,0.8,-0.04999999999999993
arc,8,group32,dyadic_g32_8,dyop_native_8,20,20,20,20,0.9740654848265712,0.945850412705918,-0.028215072120653217,0.95,0.8,-0.1499999999999999
wikitext,6,per_channel,dyadic_6,dyop_native_6,10,10,10,10,0.7285910494428898,0.7619294303685404,0.03333838092565067,0.3,0.0,-0.3
wikitext,6,group32,dyadic_g32_6,dyop_native_6,10,10,10,10,0.7656652416038577,0.7619294303685404,-0.003735811235317299,0.3,0.0,-0.3
wikitext,8,per_channel,dyadic_8,dyop_native_8,10,10,10,10,0.8047753877568441,0.7944764539595133,-0.010298933797330823,0.3,0.1,-0.19999999999999998
wikitext,8,group32,dyadic_g32_8,dyop_native_8,10,10,10,10,0.8677894966296525,0.7944764539595133,-0.07331304267013927,0.5,0.1,-0.4
