family,variants,mean_cosine_mean,mean_cosine_max,judge_rate_mean,judge_rate_max,judge_rate_min
arc,2,0.9384338980827548,0.945850412705918,0.775,0.8,0.75
wikitext,2,0.7782029421640269,0.7944764539595133,0.05,0.1,0.0
