family,variants,mean_cosine_mean,mean_cosine_max,judge_rate_mean,judge_rate_max,judge_rate_min
arc,11,0.9079825351329037,0.9740654848265712,0.5545454545454546,0.75,0.05
wikitext,11,0.727796240630722,0.8677894966296525,0.13636363636363638,0.3,0.0
